,0
337,-0.17703724
338,-0.12822342
339,-0.06772041
340,-0.45823288
341,-0.41354465
342,-0.6184263
343,-0.36541748
344,-0.48160934
345,0.15641022
346,-0.1694746
347,0.04984474
348,-0.29804134
349,-0.018219948
350,-0.2602272
351,-0.5916128
352,0.060157776
353,-0.08490944
354,-0.17909908
355,-0.006532669
356,-0.6438637
357,-0.031970024
358,-0.005156517
359,-0.23066425
360,-0.16053581
361,-0.33654213
362,-0.1708498
363,-0.061533928
364,-0.48710918
365,-0.5441742
366,-0.13922405
367,-0.32416725
368,-0.16397381
369,-0.08559704
370,0.09247112
371,-0.09522247
372,-0.33929253
373,-0.4685459
374,0.054656982
375,-0.08215904
376,-0.41354465
377,-0.43416977
378,-0.18803787
379,-0.45342064
380,-0.34479237
381,-0.49398518
382,-0.11309719
383,-0.097971916
384,-0.5084219
385,-0.057408333
386,-0.064284325
387,-0.08490944
388,-0.2629776
389,-0.11516094
390,-0.002407074
391,-0.0807848
392,-0.022345543
393,-0.29597855
394,-0.30560398
395,-0.40942
396,-0.28291512
397,-0.46579552
398,-0.45273304
399,-0.4183569
400,-0.3791685
401,-0.449296
402,-0.25541496
403,-0.39704418
404,-0.27810287
405,-0.52904797
406,-0.48160934
407,-0.48917103
408,-0.093847275
409,-0.40254402
410,-0.36885548
411,-0.32416725
412,-0.44310856
413,-0.58955
414,0.034719467
415,-0.29529095
416,-0.40666962
417,0.00034332275
418,-0.1997261
419,0.009280205
420,-0.4726715
421,-0.07115841
422,-0.47610855
423,-0.298728
424,-0.49192142
425,0.12684727
426,-0.65624
427,-0.5084219
428,-0.24853897
429,-0.31110382
430,-0.49260902
431,-0.33791733
432,-0.43348217
433,-0.3317299
434,-0.38948154
435,-0.66517735
436,-0.5833626
437,-0.7050533
438,-0.10897255
439,-0.26847744
440,-0.4211073
441,-0.20728874
442,-0.7717433
443,-0.676178
444,-0.38741875
445,-0.3915434
446,-0.43348217
447,-0.6995535
448,-0.5854244
449,-0.22791386
450,-0.5799246
451,-0.59986305
452,-0.438982
453,-0.40735626
454,-0.50085926
455,-0.38673115
456,-0.5900698
457,-0.6314888
458,-0.4486084
459,-0.6933656
460,-0.39498138
461,-0.6308012
462,-0.38879395
463,-0.2602272
464,-0.31247902
465,-0.5166731
466,-0.46098328
467,-0.66792774
468,-0.56617355
469,-0.52011013
470,-0.5146103
471,-0.48710918
472,-0.11516094
473,-0.3578558
474,-0.5207987
475,-0.5441742
476,-0.6184263
477,-0.63905144
478,-0.4245453
479,-0.7490549
480,-0.8879342
481,-0.7930565
482,-0.7882438
483,-0.8129945
484,-0.8693714
485,-0.9106226
486,-0.78343105
487,-0.82674503
488,-0.8473706
489,-0.8686838
490,-0.8171201
491,-0.7958069
492,-0.77793074
493,-0.7194915
494,-0.8157449
495,-0.80336905
496,-0.7841182
497,-0.8191824
498,-0.7483673
499,-0.80611944
500,-0.7751808
501,-0.82880783
502,-0.9305606
503,-0.9484358
504,-0.8844967
505,-0.7841182
506,-0.7023039
507,-0.8205571
508,-0.8913717
509,-0.8191824
510,-0.816432
511,-0.71261597
512,-0.9147477
513,-0.7786188
514,-0.9628744
515,-0.80405664
516,-0.89893484
517,-0.8851843
518,-0.7916813
519,-0.82743263
520,-0.83637
521,-0.889997
522,-0.85493326
523,-0.7717433
524,-0.82880783
525,-0.75661755
526,-0.82949495
527,-0.7689934
528,-0.859746
529,-0.83637
530,-0.7449298
531,-0.82880783
532,-0.77930593
533,-0.83499527
534,-0.9147477
535,-0.81161976
536,-0.7490549
537,-0.8150568
538,-0.89687204
539,-0.88312197
540,-0.36472988
541,-0.27810287
542,-0.24922657
543,-0.45754528
544,-0.34823036
545,-0.37435627
546,-0.48367214
547,-0.24647713
548,-0.40804386
549,-0.41629505
550,-0.22241306
551,-0.34273052
552,-0.20660019
553,-0.5235481
554,-0.29047775
555,-0.2842903
556,-0.29666615
557,-0.36954403
558,-0.43348217
559,-0.42729473
560,-0.5207987
561,-0.449296
562,-0.29735374
563,-0.39085674
564,-0.3798561
565,-0.21347523
566,-0.33791733
567,-0.42935753
568,-0.41285706
569,-0.30010414
570,-0.3578558
571,-0.319355
572,-0.17428684
573,-0.22722626
574,-0.09247208
575,-0.48092175
576,-0.34547997
577,-0.31316662
578,0.070469856
579,-0.39910603
580,-0.47748375
581,-0.7277417
582,-0.5283613
583,-0.62392616
584,-0.18391323
585,-0.056721687
586,-0.15572357
587,-0.4726715
588,-0.25816536
589,-0.36335564
590,-0.05328369
591,-0.1419735
592,-0.37435627
593,-0.07047081
594,-0.34754276
595,-0.636302
596,-0.20453835
597,0.12959766
598,-0.53317356
599,-0.23135185
600,-0.18391323
601,-0.4121704
602,-0.20247555
603,-0.20660019
604,-0.2836027
605,-0.27672863
606,-0.46304607
607,-0.123410225
608,-0.16191196
609,-0.29735374
610,-0.06290817
611,0.0450325
612,-0.1997261
613,-0.13853645
614,-0.2616024
615,-0.20797634
616,-0.31591702
617,-0.14609909
618,-0.16534996
619,-0.3757305
620,-0.38879395
621,0.03265667
622,-0.118597984
623,-0.17703724
624,-0.298728
625,-0.4712963
626,-0.20316315
627,-0.319355
628,-0.124097824
629,-0.39360714
630,-0.03403282
631,-0.41285706
632,-0.019595146
633,-0.3544178
634,-0.53042316
635,-0.6335516
636,-0.40254402
637,-0.1419735
638,-0.43623257
639,-0.3798561
640,-0.64455223
641,-0.5503607
642,-0.5049858
643,-0.44310856
644,-0.5152979
645,-0.11309719
646,-0.34547997
647,-0.11516094
648,-0.43004513
649,-0.54623604
650,-0.2320385
651,-0.36679363
652,-0.15228653
653,-0.064284325
654,-0.34135437
655,-0.11034775
656,-0.7916813
657,-0.39773178
658,-0.42660713
659,-0.27672863
