time,EstimatedRemainingTimeContext,SimulationLeftNumber,SimulationElapsedTime,MinimumCoresContext,WillFinishTooSoonContext,NotFinishedOnTimeContext,RemainingSimulationTimeMetric
1603271762,null,null,null,null,-4.699999999999932,-151.3,null
1603271792,null,null,null,null,-31.44999999999993,-172.05,null
1603271822,null,null,null,null,-17.69999999999993,-152.3,null
1603271852,null,null,null,null,-56.14999999999998,-184.75,null
1603271882,null,null,null,null,36.30000000000007,-86.3,null
1603271912,null,null,null,null,6.100000000000023,-110.5,null
1603271942,null,null,null,null,74.35,-36.25,null
1603271972,null,null,null,null,91.0375,-13.5625,null
1603272002,null,null,null,null,105.2875,6.6875,null
1603272032,null,null,null,null,71.35,-21.25,null
1603272062,null,null,null,null,83.475,-3.125,null
1603272092,null,null,null,null,47.60000000000002,-33.0,null
1603272122,null,null,null,null,12.10000000000002,-62.5,null
1603272152,null,null,null,null,27.10000000000002,-41.5,null
1603272182,null,null,null,null,1.599999999999994,-61.0,null
1603272212,null,null,null,null,-33.90000000000001,-90.5,null
1603272242,null,null,null,null,-84.2125,-134.8125,null
1603272272,null,null,null,null,-157.4,-202.0,null
1603272302,null,null,null,null,-142.15,-180.75,null
1603272332,null,null,null,null,79.6,47.0,null
1603272362,null,null,null,null,103.6,77.0,null
1603272392,null,null,null,null,101.2666666666667,80.6666666666667,null
1603272422,null,null,null,null,115.6,101.0,null
1603272452,null,null,null,null,132.35,123.75,null
1603272482,null,null,null,null,129.7666666666667,127.1666666666667,null
1603272512,null,null,null,null,148.9333333333333,152.3333333333333,null
1603272542,null,null,null,null,137.9333333333333,147.3333333333333,null
1603272572,null,null,null,null,145.6,161.0,null
1603272602,null,null,null,null,167.7666666666667,189.1666666666667,null
1603272632,null,null,null,null,158.6,186.0,null
1603272662,null,null,null,null,130.6,158.0,null
