time,EstimatedRemainingTimeContext,SimulationLeftNumber,SimulationElapsedTime,NotFinishedOnTime,MinimumCoresContext,WillFinishTooSoonContext,NotFinishedOnTimeContext,RemainingSimulationTimeMetric,TotalCores
1607513137,3343.333333333334,null,null,null,null,null,null,null,null
1607513167,2839.0,null,null,null,null,null,null,null,null
1607513197,2822.0,null,null,null,null,null,null,null,null
1607513227,2805.0,null,null,null,null,null,null,null,null
1607513257,1597.4,null,null,null,null,null,null,null,null
1607513287,1582.7,null,null,null,null,null,null,null,null
1607513317,1600.0,null,null,null,null,null,null,null,null
1607513347,1553.3,null,null,null,null,null,null,null,null
1607513377,1984.0,null,null,null,null,null,null,null,null
1607513407,1971.2,null,null,null,null,null,null,null,null
1607513437,1964.8,null,null,null,null,null,null,null,null
1607513467,1926.4,null,null,null,null,null,null,null,null
1607513497,1999.2,null,null,null,null,null,null,null,null
1607513527,1985.6,null,null,null,null,null,null,null,null
1607513557,1931.2,null,null,null,null,null,null,null,null
1607513587,1705.0,null,null,null,null,null,null,null,null
1607513617,1602.0,null,null,null,null,null,null,null,null
1607513647,1590.0,null,null,null,null,null,null,null,null
1607513677,1397.0,null,null,null,null,null,null,null,null
1607513707,1375.0,null,null,null,null,null,null,null,null
1607513737,1369.5,null,null,null,null,null,null,null,null
1607513767,1266.7,null,null,null,null,null,null,null,null
1607513797,1256.1,null,null,null,null,null,null,null,null
1607513827,1649.625,null,null,null,null,null,null,null,null
1607513857,1603.25,null,null,null,null,null,null,null,null
1607513887,1596.625,null,null,null,null,null,null,null,null
1607513917,1563.5,null,null,null,null,null,null,null,null
1607513947,1482.0,null,null,null,null,null,null,null,null
1607513977,1469.0,null,null,null,null,null,null,null,null
1607514007,1370.625,null,null,null,null,null,null,null,null
1607514037,1312.5,null,null,null,null,null,null,null,null
1607514067,1306.875,null,null,null,null,null,null,null,null
1607514097,1243.75,null,null,null,null,null,null,null,null
1607514127,1225.0,null,null,null,null,null,null,null,null
1607514157,1168.75,null,null,null,null,null,null,null,null
1607514187,1156.25,null,null,null,null,null,null,null,null
1607514217,1118.75,null,null,null,null,null,null,null,null
1607514247,1093.75,null,null,null,null,null,null,null,null
1607514277,1056.25,null,null,null,null,null,null,null,null
1607514307,805.0,null,null,null,null,null,null,null,null
1607514337,701.5,null,null,null,null,null,null,null,null
1607514367,613.125,null,null,null,null,null,null,null,null
1607514397,429.0,null,null,null,null,null,null,null,null
1607514427,252.625,null,null,null,null,null,null,null,null
1607514457,698.25,null,null,null,null,null,null,null,null
1607514487,546.875,null,null,null,null,null,null,null,null
1607514517,640.625,null,null,null,null,null,null,null,null
1607514547,2362.5,null,null,null,null,null,null,null,null
1607514577,2320.5,null,null,null,null,null,null,null,null
1607514607,2320.5,null,null,null,null,null,null,null,null
1607514637,2257.5,null,null,null,null,null,null,null,null
1607514667,2183.25,null,null,null,null,null,null,null,null
1607514697,2142.25,null,null,null,null,null,null,null,null
1607514727,2101.25,null,null,null,null,null,null,null,null
1607514757,2091.0,null,null,null,null,null,null,null,null
1607514787,2019.25,null,null,null,null,null,null,null,null
1607514817,1968.0,null,null,null,null,null,null,null,null
1607514847,1896.25,null,null,null,null,null,null,null,null
1607514877,1845.0,null,null,null,null,null,null,null,null
1607514907,1072.5,null,null,null,null,null,null,null,null
1607514937,950.0,null,null,null,null,null,null,null,null
1607514967,465.625,null,null,null,null,null,null,null,null
1607514997,469.0,null,null,null,null,null,null,null,null
1607515027,458.5,null,null,null,null,null,null,null,null
1607515057,451.5,null,null,null,null,null,null,null,null
1607515087,423.5,null,null,null,null,null,null,null,null
1607515117,255.0,null,null,null,null,null,null,null,null
1607515147,438.75,null,null,null,null,null,null,null,null
1607515177,406.0,null,null,null,null,null,null,null,null
1607515207,401.1666666666667,null,null,null,null,null,null,null,null
1607515237,372.1666666666667,null,null,null,null,null,null,null,null
1607515267,261.3333333333333,null,null,null,null,null,null,null,null
1607515297,245.0,null,null,null,null,null,null,null,null
1607515327,210.0,null,null,null,null,null,null,null,null
1607515357,240.5,null,null,null,null,null,null,null,null
1607515387,740.0,null,null,null,null,null,null,null,null
1607515417,666.0,null,null,null,null,null,null,null,null
1607515447,585.0,null,null,null,null,null,null,null,null
1607515477,585.0,null,null,null,null,null,null,null,null
1607515507,549.0,null,null,null,null,null,null,null,null
1607515537,450.0,null,null,null,null,null,null,null,null
1607515567,387.0,null,null,null,null,null,null,null,null
1607515597,378.0,null,null,null,null,null,null,null,null
1607515627,378.0,null,null,null,null,null,null,null,null
1607515657,324.0,null,null,null,null,null,null,null,null
1607515687,315.0,null,null,null,null,null,null,null,null
1607515717,315.0,null,null,null,null,null,null,null,null
1607515747,232.5,null,null,null,null,null,null,null,null
1607515777,224.75,null,null,null,null,null,null,null,null
1607515807,112.375,null,null,null,null,null,null,null,null
1607515837,132.25,null,null,null,null,null,null,null,null
1607515867,126.5,null,null,null,null,null,null,null,null
1607515897,128.25,null,null,null,null,null,null,null,null
1607515927,121.5,null,null,null,null,null,null,null,null
1607505154,null,900,3,null,null,null,null,7197,1
1607505184,null,899,33,null,null,null,null,7167,1
1607505214,null,899,63,null,null,null,null,7137,1
1607505243,null,898,93,null,null,null,null,7107,1
1607505273,null,898,123,null,null,null,null,7077,1
1607505303,null,897,153,null,null,null,null,7047,1
1607505333,null,896,183,null,null,null,null,7017,1
1607505363,null,896,213,null,null,null,null,6987,3
1607505393,null,895,243,null,null,null,null,6957,3
1607505423,null,894,273,null,null,null,null,6927,3
1607505453,null,894,303,null,null,null,null,6897,3
1607505483,null,891,333,null,null,null,null,6867,3
1607505513,null,890,363,null,null,null,null,6837,3
1607505543,null,890,393,null,null,null,null,6807,3
1607505573,null,888,423,null,null,null,null,6777,3
1607505603,null,886,453,null,null,null,null,6747,3
1607505633,null,886,483,null,null,null,null,6717,3
1607505663,null,884,513,null,null,null,null,6687,3
1607505693,null,883,543,null,null,null,null,6657,3
1607505723,null,882,573,null,null,null,null,6627,3
1607505753,null,880,603,null,null,null,null,6597,3
1607505783,null,879,633,null,null,null,null,6567,5
1607505813,null,878,663,null,null,null,null,6537,5
1607505843,null,876,693,null,null,null,null,6507,5
1607505873,null,875,723,null,null,null,null,6477,5
1607505903,null,870,753,null,null,null,null,6447,7
1607505933,null,870,783,null,null,null,null,6417,7
1607505963,null,867,813,null,null,null,null,6387,7
1607505993,null,865,843,null,null,null,null,6357,7
1607506023,null,862,873,null,null,null,null,6327,9
1607506053,null,859,903,null,null,null,null,6297,9
1607506083,null,857,933,null,null,null,null,6267,9
1607506113,null,854,963,null,null,null,null,6237,9
1607506143,null,849,993,null,null,null,null,6207,9
1607506173,null,845,1023,null,null,null,null,6177,9
1607506203,null,842,1053,null,null,null,null,6147,9
1607506233,null,837,1083,null,null,null,null,6117,9
1607506263,null,836,1113,null,null,null,null,6087,9
1607506293,null,833,1143,null,null,null,null,6057,9
1607506323,null,827,1173,null,null,null,null,6027,9
1607506353,null,826,1203,null,null,null,null,5997,9
1607506383,null,825,1233,null,null,null,null,5967,9
1607506413,null,815,1263,null,null,null,null,5937,9
1607506443,null,813,1293,null,null,null,null,5907,9
1607506473,null,811,1323,null,null,null,null,5877,9
1607506503,null,805,1353,null,null,null,null,5847,9
1607506533,null,803,1383,null,null,null,null,5817,9
1607506563,null,801,1413,null,null,null,null,5787,9
1607506593,null,797,1443,null,null,null,null,5757,9
1607506623,null,794,1473,null,null,null,null,5727,9
1607506653,null,791,1503,null,null,null,null,5697,9
1607506683,null,784,1533,null,null,null,null,5667,9
1607506713,null,780,1563,null,null,null,null,5637,9
1607506743,null,778,1593,null,null,null,null,5607,9
1607506773,null,774,1623,null,null,null,null,5577,9
1607506803,null,770,1653,null,null,null,null,5547,9
1607506833,null,768,1683,null,null,null,null,5517,9
1607506863,null,792,1713,null,null,null,null,5487,7
1607506893,null,788,1743,null,null,null,null,5457,7
1607506923,null,785,1773,null,null,null,null,5427,7
1607506953,null,784,1803,null,null,null,null,5397,7
1607506983,null,780,1833,null,null,null,null,5367,7
1607507013,null,777,1863,null,null,null,null,5337,7
1607507043,null,776,1893,null,null,null,null,5307,7
1607507073,null,771,1923,null,null,null,null,5277,7
1607507103,null,769,1953,null,null,null,null,5247,7
1607507133,null,767,1983,null,null,null,null,5217,7
1607507163,null,762,2013,null,null,null,null,5187,7
1607507193,null,761,2043,null,null,null,null,5157,7
1607507223,null,759,2073,null,null,null,null,5127,7
1607507253,null,749,2103,null,null,null,null,5097,7
1607507283,null,747,2133,null,null,null,null,5067,7
1607507313,null,745,2163,null,null,null,null,5037,7
1607507343,null,742,2193,null,null,null,null,5007,7
1607507373,null,739,2223,null,null,null,null,4977,7
1607507403,null,737,2253,null,null,null,null,4947,7
1607507433,null,734,2283,null,null,null,null,4917,7
1607507463,null,731,2313,null,null,null,null,4887,7
1607507493,null,729,2343,null,null,null,null,4857,7
1607507523,null,721,2373,null,null,null,null,4827,7
1607507553,null,717,2403,null,null,null,null,4797,7
1607507583,null,714,2433,null,null,null,null,4767,7
1607507613,null,714,2463,null,null,null,null,4737,7
1607507643,null,709,2493,null,null,null,null,4707,7
1607507673,null,706,2523,null,null,null,null,4677,7
1607507703,null,706,2553,null,null,null,null,4647,7
1607507733,null,702,2583,null,null,null,null,4617,7
1607507763,null,700,2613,null,null,null,null,4587,7
1607507793,null,691,2643,null,null,null,null,4557,7
1607507823,null,686,2673,null,null,null,null,4527,7
1607507853,null,684,2703,null,null,null,null,4497,7
1607507883,null,683,2733,null,null,null,null,4467,7
1607507913,null,680,2763,null,null,null,null,4437,7
1607507943,null,676,2793,null,null,null,null,4407,7
1607507973,null,675,2823,null,null,null,null,4377,7
1607508003,null,674,2853,null,null,null,null,4347,7
1607508033,null,669,2883,null,null,null,null,4317,7
1607508063,null,659,2913,null,null,null,null,4287,7
1607508093,null,657,2943,null,null,null,null,4257,7
1607508123,null,652,2973,null,null,null,null,4227,7
1607508153,null,651,3003,null,null,null,null,4197,7
1607508183,null,649,3033,null,null,null,null,4167,7
1607508213,null,645,3063,null,null,null,null,4137,7
1607508243,null,644,3093,null,null,null,null,4107,7
1607508273,null,643,3123,null,null,null,null,4077,7
1607508303,null,628,3153,null,null,null,null,4047,7
1607508333,null,627,3183,null,null,null,null,4017,7
1607508363,null,625,3213,null,null,null,null,3987,7
1607508393,null,621,3243,null,null,null,null,3957,7
1607508423,null,619,3273,null,null,null,null,3927,7
1607508453,null,617,3303,null,null,null,null,3897,7
1607508483,null,614,3333,null,null,null,null,3867,7
1607508513,null,611,3363,null,null,null,null,3837,7
1607508543,null,609,3393,null,null,null,null,3807,7
1607508573,null,597,3423,null,null,null,null,3777,7
1607508603,null,593,3453,null,null,null,null,3747,7
1607508633,null,591,3483,null,null,null,null,3717,7
1607508663,null,589,3513,null,null,null,null,3687,7
1607508693,null,585,3543,null,null,null,null,3657,7
1607508723,null,584,3573,null,null,null,null,3627,7
1607508753,null,581,3603,null,null,null,null,3597,7
1607508783,null,566,3633,null,null,null,null,3567,7
1607508813,null,565,3663,null,null,null,null,3537,7
1607508843,null,561,3693,null,null,null,null,3507,7
1607508873,null,559,3723,null,null,null,null,3477,7
1607508903,null,557,3753,null,null,null,null,3447,7
1607508933,null,554,3783,null,null,null,null,3417,7
1607508963,null,551,3813,null,null,null,null,3387,7
1607508993,null,549,3843,null,null,null,null,3357,7
1607509023,null,534,3873,null,null,null,null,3327,7
1607509053,null,531,3903,null,null,null,null,3297,7
1607509083,null,528,3933,null,null,null,null,3267,7
1607509113,null,527,3963,null,null,null,null,3237,7
1607509143,null,523,3993,null,null,null,null,3207,7
1607509173,null,521,4023,null,null,null,null,3177,7
1607509203,null,520,4053,null,null,null,null,3147,7
1607509233,null,502,4083,null,null,null,null,3117,7
1607509263,null,500,4113,null,null,null,null,3087,7
1607509293,null,498,4143,null,null,null,null,3057,7
1607509323,null,495,4173,null,null,null,null,3027,7
1607509353,null,493,4203,null,null,null,null,2997,7
1607509383,null,490,4233,null,null,null,null,2967,7
1607509413,null,474,4263,null,null,null,null,2937,7
1607509443,null,471,4293,null,null,null,null,2907,7
1607509473,null,468,4323,null,null,null,null,2877,5
1607509503,null,589,4353,null,null,null,null,2847,5
1607509533,null,585,4383,null,null,null,null,2817,5
1607509563,null,580,4413,null,null,null,null,2787,5
1607509593,null,579,4443,null,null,null,null,2757,5
1607509623,null,577,4473,null,null,null,null,2727,5
1607509653,null,570,4503,null,null,null,null,2697,5
