time,served_request,request_rate,avgResponseTime,performance,cpu_usage,memory
1602540298,2085,423,678.551398421363,0.617491911408326,31.4,71430144
1602540308,2358,467,2.94898332833637,158.359660942353,34.6,65392640
1602540318,2315,468,3.18606821558645,147.203376784471,37,65818624
1602540328,2383,471,3.38883135832011,138.985966015577,37.1,65695744
1602540338,2321,462,3.24218748767332,142.496386083935,36.5,65818624
1602540348,2316,467,4.59155527833006,101.708456436105,37.4,65777664
1602540358,2331,467,3.15101593668908,148.523526825367,36.7,65982464
1602540368,2334,466,3.25011961870757,143.379338199653,37.1,65687552
1602540378,2311,466,3.12378374542936,149.178060319265,36.8,66162688
1602540388,2328,464,3.55651759609734,130.464699657091,37,66056192
1602540398,2177,433,655.552842280818,0.663562068446742,31.5,71086080
1602540408,2172,433,663.902211584439,0.653710730928634,32.2,71561216
1602540418,2163,430,668.782796343884,0.645949630226236,31.8,71110656
1602540428,2157,431,670.985697041964,0.64233858024107,32,71577600
1602540438,1792,299,321.811594867281,1.10934473988494,24.8,65753088
1602540448,2319,462,3.21235950777581,143.819519229304,36,65703936
1602540458,2342,465,3.24474105867537,143.308816201756,36.8,65826816
1602540468,2360,465,3.38154253313097,137.215485375067,37.1,65638400
1602540478,2116,422,675.682146066979,0.626034004986227,31.7,71774208
1602540488,2127,429,671.543921783153,0.632869997351023,31.8,71364608
1602540498,2168,433,666.049583811602,0.651603139688713,31.8,71184384
1602540508,2170,432,666.865326402374,0.650806066558231,32.2,71512064
1602540518,2156,433,664.259104317327,0.64884319567279,32.1,71667712
1602540528,2117,424,674.838079165106,0.626817029239556,31.5,71634944
1602540538,2140,428,657.39218743048,0.649536164506299,31.5,71151616
1602540548,2095,422,684.195314443766,0.612398230672826,31.7,71880704
1602540558,2136,427,678.39551228709,0.629426333556431,31.8,71487488
1602540568,2161,429,673.802186139807,0.639653608827223,31.6,71258112
1602540578,1844,311,104.634927177636,3.52654710958567,25.4,65433600
1602540588,2346,464,3.33433738653211,139.158083364379,36.3,65703936
1602540598,2320,466,3.15488659102341,147.70736968039,37,65581056
1602540608,2327,468,3.30283409236683,141.69649062349,37.2,66031616
1602540618,2324,464,3.39127510221813,136.821692730416,36.4,65957888
1602540628,2322,462,3.53147273018481,130.823606834371,36.4,66064384
1602540638,2319,462,3.33393591650091,138.574949120464,37.2,65589248
1602540648,2244,465,10.5355580647786,43.1870810451994,37,66826240
1602540658,2136,429,671.975589200352,0.635439749393469,31.3,71688192
1602540668,2134,430,662.619680585209,0.644411888917764,31.8,71581696
1602540678,2158,431,666.940927063568,0.644734762182342,31.6,71655424
1602540688,2129,426,663.504540724282,0.640538193658886,31.8,71639040
1602540698,2181,435,664.089947651964,0.65653756925786,32.4,71720960
1602540708,2195,409,662.468396992781,0.662673120699498,31.7,68780032
1602540718,2353,465,3.69561463277795,125.824807564003,35.3,65781760
1602540728,2332,466,3.13585802375964,148.603666514629,36.8,65904640
1602540738,2295,464,3.48075646460706,133.304356313932,36.7,66060288
1602540748,2345,465,3.40261306844032,136.659676150937,36.9,65994752
1602540758,2354,466,3.71327132822197,125.495811862241,36.9,65576960
1602540768,2307,465,3.1548206765878,147.393480539419,37.3,65847296
1602540778,2343,464,3.35348654749858,138.363459470593,36.9,65773568
1602540788,2308,468,4.08323654062413,114.614961769632,37,65937408
1602540798,2365,461,3.21682643688758,143.308944092749,36.6,65282048
1602540808,2323,468,3.29618170709893,141.982463828398,37.4,66101248
1602540818,2349,464,3.43918932301281,134.915515378934,36.9,65871872
1602540828,2324,465,3.39130526360464,137.115347589131,36.7,65634304
1602540838,2290,460,3.32484713808418,138.652990905812,36.9,65495040
1602540848,2170,470,41.7481592723301,10.4196210702949,35.4,68714496
1602540858,2161,433,662.463336672732,0.652111560120066,31.9,71327744
1602540868,2175,435,670.864652765208,0.648416932099481,31.8,71434240
1602540878,2159,433,667.197499246496,0.645985634668525,31.9,71393280
1602540888,2146,428,676.405459281338,0.634234975654691,31.7,71262208
1602540898,2146,430,664.45273799754,0.645644115024458,31.2,71524352
1602540908,2154,428,667.845008322345,0.645359319346701,31.9,71278592
1602540918,2169,430,668.537745996794,0.647682202826699,32,71270400
1602540928,2154,430,664.472249667735,0.64713010997076,32.2,71278592
1602540938,2182,440,657.656185895778,0.662960387738366,31.7,71688192
1602540948,2197,438,651.492392631569,0.673837492141313,32.1,71499776
1602540958,2155,429,664.180226115782,0.647414637010047,31.8,71700480
1602540968,2133,425,672.360537480257,0.633588642183672,31.3,71454720
1602540978,2135,423,662.5112386163,0.646026776683679,31.9,70553600
1602540988,2323,469,3.02069411932575,155.2623276218,35.6,65597440
1602540998,2326,464,3.42222512639604,135.584300524566,36.5,65908736
1602541008,2366,471,3.24370200011253,145.204460823979,37.6,65736704
1602541018,2155,429,659.874798139674,0.653154206245002,31.8,71651328
1602541028,2144,426,674.60734152527,0.635925483748875,31.7,71544832
1602541038,2156,432,660.657125302281,0.652380763777879,31.8,71241728
1602541048,2125,427,660.076214397655,0.643865042747873,32.1,71921664
1602541058,2161,435,668.270088135782,0.646445213798383,32.2,71651328
1602541068,2126,424,679.071662455152,0.625854417873118,31.8,71282688
1602541078,2110,420,676.595026169908,0.622233365183322,31.6,71479296
1602541088,2164,432,665.813573076632,0.648830269415788,32,71364608
1602541098,2167,432,668.52460129777,0.647694937717237,32.6,71299072
1602541108,2169,429,665.316087631324,0.652321517649059,32.1,71421952
1602541118,1927,327,649.699962009218,0.594120397985376,26.4,65310720
1602541128,2332,464,3.08628996281436,150.342322202572,35.3,65671168
1602541138,2360,469,3.2414338346255,144.689055500707,36.8,65835008
1602541148,2325,462,3.54282963660455,130.404238246912,36.6,65638400
1602541158,2348,466,3.28847811616056,141.706887970438,37,65769472
1602541168,2312,461,3.52897415111634,130.632863903004,36.8,65875968
1602541178,2330,465,3.49124050958985,133.190480209749,36.9,66097152
1602541188,2018,460,568.875110539265,0.706657740077473,32.8,71372800
1602541198,2135,427,679.550966334287,0.626884547450471,32,71438336
1602541208,2120,422,682.137226158718,0.620109830952955,31.4,71503872
1602541218,2124,426,669.684402349979,0.633134053163174,31.7,71725056
1602541228,2163,429,661.051504158941,0.653504299259762,31.6,71282688
1602541238,2170,433,660.635760962139,0.655429247985888,32,71380992
1602541248,2143,429,672.84176364103,0.637594191059872,31.9,71905280
1602541258,1813,358,3.09778851037254,115.566314098359,27.4,65654784
1602541268,2280,460,3.35231716172737,137.516821279063,36.4,65662976
1602541278,2367,469,3.10179861880175,151.202594893533,36.9,65540096
1602541288,2342,464,3.1577870949632,146.938341961084,36.8,65605632
1602541298,2360,468,3.38378306162559,138.306738782234,36.7,66056192
1602541308,2380,472,3.40888880881943,138.461541713783,36.9,65646592
1602541318,2335,468,3.29376420831782,142.086673605278,37.1,66007040
1602541328,2303,459,3.28356464997199,139.787106065938,36.7,66113536
1602541338,2105,479,143.556516583912,2.92567700857036,35.7,71192576
1602541348,2149,433,662.962261162674,0.647095657070492,31.8,71782400
1602541358,2196,427,663.951729381888,0.66119264484587,32.1,70332416
1602541368,2167,431,666.716216399365,0.650951618281972,32.2,71446528
1602541378,2173,433,671.415898199735,0.646395179446424,31.5,71667712
1602541388,1865,322,656.135602802757,0.568480049560927,26.3,65105920
1602541398,2329,464,3.09353685522346,149.990131592107,36.1,65646592
1602541408,2341,469,3.26818546032814,143.504707946687,37,66088960
1602541418,2374,461,3.6220535472751,127.275865467758,37.2,65581056
1602541428,2096,425,677.829131939029,0.619625183117357,31.7,71315456
1602541438,2125,429,664.572012620814,0.639509326196216,31.6,71847936
1602541448,2167,432,669.40380815102,0.645350377066483,31.7,71454720
1602541458,2162,432,665.945323499456,0.647200280249963,32.2,71471104
1602541468,2146,432,665.071051918449,0.645043862249779,32,71831552
1602541478,2148,432,660.438067531231,0.648054709505007,31.9,71348224
1602541488,2152,428,662.289242872961,0.649263149941394,31.6,71561216
1602541498,2109,426,678.468322912174,0.621989245111193,31.1,71438336
1602541508,2136,426,668.278166417325,0.638955485092637,31.7,71593984
1602541518,2186,434,665.51835909963,0.65813360970622,32.1,71389184
1602541528,1831,309,389.903239250704,0.931000216098729,25.5,65662976
1602541538,2296,458,3.48694773085857,131.34696455207,36.1,65859584
1602541548,2337,465,3.19428560210437,145.572455917424,36.7,65630208
1602541558,2313,464,3.44763212373027,134.585124905369,37.2,65630208
1602541568,2287,459,3.44552970839527,133.216091238922,36.9,66203648
1602541578,2345,463,3.83660889891927,120.679488631333,36.8,65835008
1602541588,2397,471,3.31609996100192,142.034319091422,37.3,65548288
1602541598,2371,470,2.96580223331266,158.473142518013,37,65835008
1602541608,2049,469,560.831730048094,0.734623199662167,32.9,70897664
1602541618,2155,430,668.171672975934,0.645043807499938,31.9,71421952
1602541628,2172,432,659.519689408016,0.655022142534915,32.2,71430144
1602541638,2133,427,668.670709737857,0.637084881685646,31.8,71487488
1602541648,2148,427,668.49178541972,0.641743113912234,31.8,71036928
1602541658,2129,426,670.972478171367,0.633408990422786,31.3,71626752
1602541668,2283,457,18.1856170016008,25.1297495135729,35.2,65957888
1602541678,2339,463,3.6595962454285,126.516688986762,37.2,65859584
1602541688,2321,468,3.37793774668485,138.546070145698,37.4,65916928
1602541698,2135,427,678.826569952507,0.627553514927685,31.4,71385088
1602541708,2146,430,674.614562126153,0.634436349329744,31.8,71680000
1602541718,2153,429,671.122717514074,0.640717396056531,31.7,71786496
1602541728,2140,429,672.677928042189,0.636262886230982,31.5,71524352
1602541738,2152,430,665.398654441408,0.646229139674138,31.9,71589888
1602541748,2122,421,670.08313943933,0.635742007113388,31.7,71270400
1602541758,2134,424,673.959999857601,0.632084990340685,31.3,72007680
1602541768,2144,429,652.454379556784,0.65598456138917,32.1,71458816
1602541778,2179,438,662.216163327137,0.656885204695779,31.8,71761920
1602541788,2150,431,673.514675096024,0.638441916560607,31.7,71393280
1602541798,2141,427,682.482668753263,0.625656913427604,31.7,71614464
1602541808,2319,462,3.04027197945987,151.960088808265,34.8,65789952
1602541818,2121,489,110.549831210527,3.88060293989077,35.7,71352320
1602541828,2159,428,675.414100406677,0.639607612189154,31.7,71352320
1602541838,2157,433,675.115192052552,0.638409570801734,31.6,71507968
1602541848,2113,422,676.551739525242,0.623751260023558,31.5,71532544
1602541858,2136,426,673.62443840459,0.633884365910633,31.8,71458816
1602541868,2162,426,672.634705253269,0.642250536028077,31.5,70983680
1602541878,2122,424,674.660955927037,0.626981591692622,31.5,71565312
1602541888,2122,428,675.903914785969,0.6273080991612,31.7,71540736
